iter	Logloss
0	0.6841924395
1	0.6763660431
2	0.6668019976
3	0.6584086827
4	0.6511144366
5	0.6425436837
6	0.6351170131
7	0.628578404
8	0.6220328195
9	0.6129198892
10	0.6039351872
11	0.5959371839
12	0.589521844
13	0.5818267277
14	0.5739391872
15	0.5681563241
16	0.5603353228
17	0.5526157924
18	0.5466029031
19	0.5402798789
20	0.5327692849
21	0.5270774841
22	0.5207764762
23	0.5149214608
24	0.5086094448
25	0.5028659821
26	0.4966996329
27	0.4899128505
28	0.4839878082
29	0.4787751334
30	0.4732271467
31	0.4664702279
32	0.4617384229
33	0.456930324
34	0.4512382507
35	0.4462771824
36	0.4401771545
37	0.4346136911
38	0.4301303046
39	0.4249859946
40	0.4197846276
41	0.4151091167
42	0.409022086
43	0.4050410134
44	0.4018262591
45	0.3976613726
46	0.3938285283
47	0.3895175661
48	0.3846801758
49	0.3805158888
50	0.3762859889
51	0.3723913465
52	0.3676304408
53	0.3640485219
54	0.35982181
55	0.3559536253
56	0.3531240191
57	0.3490396227
58	0.3453059605
59	0.3414767947
60	0.3370855331
61	0.3333092826
62	0.3303532192
63	0.326631546
64	0.3234978267
65	0.3198483603
66	0.3166608538
67	0.3144639696
68	0.3116607938
69	0.3083178656
70	0.3048416683
71	0.3022395815
72	0.2992113931
73	0.2955701556
74	0.2931615829
75	0.2901287624
76	0.2871053151
77	0.2842675345
78	0.2813806534
79	0.2789163589
80	0.2765807561
81	0.2743371691
82	0.27148492
83	0.2687448774
84	0.2649432046
85	0.2628534045
86	0.2601600374
87	0.2576852798
88	0.2553215299
89	0.2531302588
90	0.2510307312
91	0.2491547176
92	0.2463857923
93	0.2441957746
94	0.2410975592
95	0.2390710831
96	0.2371049881
97	0.2344909395
98	0.2322095054
99	0.2299912589
100	0.2276148387
101	0.224995654
102	0.2229937962
103	0.2212152209
104	0.2194895063
105	0.2174769265
106	0.2159792628
107	0.2138739313
108	0.2116120883
109	0.2097714969
110	0.2078675679
111	0.2060043335
112	0.2042123522
113	0.202041626
114	0.2002876009
115	0.1985966001
116	0.196959441
117	0.1955749239
118	0.1938733918
119	0.1922327178
120	0.1909280504
121	0.1896822793
122	0.1874713898
123	0.1862391881
124	0.1847568512
125	0.1830513273
126	0.1815888814
127	0.1803110123
128	0.178861836
129	0.1767369952
